,ape,ape_name,ape_len,ape_cat0,ape_cat1,ape_cat2,ape_cat3,ape_cat4,enthic
1372,09,Services de soutien aux industries extractives,2,09,,,,,1372
1373,4646Z,Commerce de gros de produits pharmaceutiques,5,46,4,6,Z,,1373
1374,1439Z,Fabrication d'autres articles à mailles,5,14,3,9,Z,,1374
1375,591,"Activités cinématographiques, vidéo et de télévision",3,59,1,,,,1375
1376,2733,Fabrication de matériel d'installation électrique,4,27,3,3,,,1376
1377,521,Entreposage et stockage,3,52,1,,,,1377
1378,2720Z,Fabrication de piles et d'accumulateurs électriques,5,27,2,0,Z,,1378
1379,3900,Dépollution et autres services de gestion des déchets,4,39,0,0,,,1379
1380,853,Enseignement secondaire,3,85,3,,,,1380
1381,1061A,Meunerie,5,10,6,1,A,,1381
1382,3315Z,Réparation et maintenance navale,5,33,1,5,Z,,1382
1383,4725,Commerce de détail de boissons en magasin spécialisé,4,47,2,5,,,1383
1384,2433Z,Profilage à froid par formage ou pliage,5,24,3,3,Z,,1384
1385,1910Z,Cokéfaction,5,19,1,0,Z,,1385
1386,2752,Fabrication d'appareils ménagers non électriques,4,27,5,2,,,1386
1387,2814,Fabrication d'autres articles de robinetterie,4,28,1,4,,,1387
1388,331,"Réparation d'ouvrages en métaux, de machines et d'équipements",3,33,1,,,,1388
1389,4331Z,Travaux de plâtrerie,5,43,3,1,Z,,1389
1390,3212,Fabrication d’articles de joaillerie et bijouterie,4,32,1,2,,,1390
1391,772,Location et location-bail de biens personnels et domestiques,3,77,2,,,,1391
1392,9104,Gest. des jardins botaniques et zoolog. et des réserv. naturelles,4,91,0,4,,,1392
1393,8710A,Hébergement médicalisé pour personnes âgées,5,87,1,0,A,,1393
1394,4666Z,Commerce de gros d'autres machines et équipements de bureau,5,46,6,6,Z,,1394
1395,4322,"Travaux plomberie, install. chauffage & conditionnement d'air",4,43,2,2,,,1395
1396,2434,Tréfilage à froid,4,24,3,4,,,1396
1397,5224A,Manutention portuaire,5,52,2,4,A,,1397
1398,9319Z,Autres activités liées au sport,5,93,1,9,Z,,1398
1399,1105Z,Fabrication de bière,5,11,0,5,Z,,1399
1400,96,Autres services personnels,2,96,,,,,1400
1401,5912Z,Post-production films cinématograph. vidéo & prog. de télévision,5,59,1,2,Z,,1401
1402,5310Z,Activ. poste dans le cadre d'une obligation de service universel,5,53,1,0,Z,,1402
1403,2823Z,Fab. machines équipts bureau (sf ordinateurs & équipts périph.),5,28,2,3,Z,,1403
1404,4782,Comm. détail textiles habillt & chaussures s/éventaires & marchés,4,47,8,2,,,1404
1405,1729,Fabrication d'autres articles en papier ou en carton,4,17,2,9,,,1405
1406,3522,Distribution de combustibles gazeux par conduites,4,35,2,2,,,1406
1407,5221,Services auxiliaires des transports terrestres,4,52,2,1,,,1407
1408,1623,Fabrication de charpentes et d'autres menuiseries,4,16,2,3,,,1408
1409,2362,Fabrication d'éléments en plâtre pour la construction,4,23,6,2,,,1409
1410,9900,Activités des organisations et organismes extraterritoriaux,4,99,0,0,,,1410
1411,411,Promotion immobilière,3,41,1,,,,1411
1412,2571Z,Fabrication de coutellerie,5,25,7,1,Z,,1412
1413,5630,Débits de boissons,4,56,3,0,,,1413
1414,65,Assurance,2,65,,,,,1414
1415,4641Z,Commerce de gros (commerce interentreprises) de textiles,5,46,4,1,Z,,1415
1416,9609,Autres services personnels n.c.a.,4,96,0,9,,,1416
1417,106,Travail des grains ; fabrication de produits amylacés,3,10,6,,,,1417
1418,64,"Activ. services financiers, hors assurance & caisses de retraite",2,64,,,,,1418
1419,5621Z,Services des traiteurs,5,56,2,1,Z,,1419
1420,3831Z,Démantèlement d'épaves,5,38,3,1,Z,,1420
1421,4110,Promotion immobilière,4,41,1,0,,,1421
1422,1084Z,Fabrication de condiments et assaisonnements,5,10,8,4,Z,,1422
1423,6020,Programmation de télévision et télédiffusion,4,60,2,0,,,1423
1424,4765,Commerce de détail de jeux et jouets en magasin spécialisé,4,47,6,5,,,1424
1425,8542Z,Enseignement supérieur,5,85,4,2,Z,,1425
1426,472,Commerce de détail alimentaire en magasin spécialisé,3,47,2,,,,1426
1427,949,Activités des autres organisations associatives,3,94,9,,,,1427
1428,4213A,Construction d'ouvrages d'art,5,42,1,3,A,,1428
1429,5530Z,"Terrains de camping et parcs pour caravanes, véhicules de loisirs",5,55,3,0,Z,,1429
1430,2813,Fabrication d'autres pompes et compresseurs,4,28,1,3,,,1430
1431,6311Z,"Traitement de données, hébergement et activités connexes",5,63,1,1,Z,,1431
1432,19,Cokéfaction et raffinage,2,19,,,,,1432
1433,2434Z,Tréfilage à froid,5,24,3,4,Z,,1433
1434,3320,Installation de machines et d'équipements industriels,4,33,2,0,,,1434
1435,9601,Blanchisserie-teinturerie,4,96,0,1,,,1435
1436,5590,Autres hébergements,4,55,9,0,,,1436
1437,1414Z,Fabrication de vêtements de dessous,5,14,1,4,Z,,1437
1438,0893Z,Production de sel,5,08,9,3,Z,,1438
1439,893,Production de sel,3,89,3,,,,1439
1440,2313,Fabrication de verre creux,4,23,1,3,,,1440
1441,4673B,Commerce de gros d'appareils sanitaires et produits de décoration,5,46,7,3,B,,1441
1442,1011,Transformation et conservation de la viande de boucherie,4,10,1,1,,,1442
1443,2016Z,Fabrication de matières plastiques de base,5,20,1,6,Z,,1443
1444,6110,Télécommunications filaires,4,61,1,0,,,1444
1445,4711,Comm. détail en magasin non spécialisé à prédominance alimentaire,4,47,1,1,,,1445
1446,6209,Autres activités informatiques,4,62,0,9,,,1446
1447,582,Édition de logiciels,3,58,2,,,,1447
1448,3811,Collecte des déchets non dangereux,4,38,1,1,,,1448
1449,279,Fabrication d'autres matériels électriques,3,27,9,,,,1449
1450,5010Z,Transports maritimes et côtiers de passagers,5,50,1,0,Z,,1450
1451,6622,Activités des agents et courtiers d'assurances,4,66,2,2,,,1451
1452,1072,"Fabrication de biscuits, biscottes et pâtisseries de conservation",4,10,7,2,,,1452
1453,774,Loc-bail de propriété intell. & sf oeuvres soumises à copyright,3,77,4,,,,1453
1454,6110Z,Télécommunications filaires,5,61,1,0,Z,,1454
1455,4779Z,Commerce de détail de biens d'occasion en magasin,5,47,7,9,Z,,1455
1456,79,"Activ. agences voyage, voyagistes, serv. résa. & activ. connexes",2,79,,,,,1456
1457,5610C,Restauration de type rapide,5,56,1,0,C,,1457
1458,9602A,Coiffure,5,96,0,2,A,,1458
1459,33,Réparation et installation de machines et d'équipements,2,33,,,,,1459
1460,8211,Services administratifs combinés de bureau,4,82,1,1,,,1460
1461,1012Z,Transformation et conservation de la viande de volaille,5,10,1,2,Z,,1461
1462,5222Z,Services auxiliaires des transports par eau,5,52,2,2,Z,,1462
1463,799,Autres services de réservation et activités connexes,3,79,9,,,,1463
1464,9810,Activ. indifférenciées ménages : producteurs biens (usage propre),4,98,1,0,,,1464
1465,212,Fabrication de préparations pharmaceutiques,3,21,2,,,,1465
1466,2630Z,Fabrication d'équipements de communication,5,26,3,0,Z,,1466
1467,2370Z,"Taille, façonnage et finissage de pierres",5,23,7,0,Z,,1467
1468,7410Z,Activités spécialisées de design,5,74,1,0,Z,,1468
1469,6810,Activités des marchands de biens immobiliers,4,68,1,0,,,1469
1470,6831,Agences immobilières,4,68,3,1,,,1470
1471,2599,Fabrication d'autres produits métalliques n.c.a.,4,25,9,9,,,1471
1472,4312B,Travaux de terrassement spécialisés ou de grande masse,5,43,1,2,B,,1472
