,ape,ape_name,ape_len,ape_cat0,ape_cat1,ape_cat2,ape_cat3,ape_cat4,enthic
1637,9820Z,Activ. indifférenciées ménages  : produc. services (usage propre),5,98,2,0,Z,,1637
1638,1082,"Fabrication de cacao, chocolat et de produits de confiserie",4,10,8,2,,,1638
1639,105,Fabrication de produits laitiers,3,10,5,,,,1639
1640,4120A,Construction de maisons individuelles,5,41,2,0,A,,1640
1641,5610B,Cafétérias et autres libres-services,5,56,1,0,B,,1641
1642,1392,"Fabrication d'articles textiles, sauf habillement",4,13,9,2,,,1642
1643,4391B,Travaux de couverture par éléments,5,43,9,1,B,,1643
1644,113,"Culture de légumes, de melons, de racines et de tubercules",3,11,3,,,,1644
1645,9601A,Blanchisserie-teinturerie de gros,5,96,0,1,A,,1645
1646,5530,"Terrains de camping et parcs pour caravanes, véhicules de loisirs",4,55,3,0,,,1646
1647,182,Reproduction d'enregistrements,3,18,2,,,,1647
1648,2521Z,Fabrication radiateurs et chaudières pour le chauffage central,5,25,2,1,Z,,1648
1649,0127Z,Culture de plantes à boissons,5,01,2,7,Z,,1649
1650,5920Z,Enregistrement sonore et édition musicale,5,59,2,0,Z,,1650
1651,4729,Autres commerces de détail alimentaires en magasin spécialisé,4,47,2,9,,,1651
1652,683,Activités immobilières pour compte de tiers,3,68,3,,,,1652
1653,9700,Activités des ménages  : employeurs de personnel domestique,4,97,0,0,,,1653
1654,205,Fabrication d'autres produits chimiques,3,20,5,,,,1654
1655,750,Activités vétérinaires,3,75,0,,,,1655
1656,2349Z,Fabrication d'autres produits céramiques,5,23,4,9,Z,,1656
1657,2349,Fabrication d'autres produits céramiques,4,23,4,9,,,1657
1658,2573A,Fabrication de moules et modèles,5,25,7,3,A,,1658
1659,7820,Activités des agences de travail temporaire,4,78,2,0,,,1659
1660,8130Z,Services d'aménagement paysager,5,81,3,0,Z,,1660
1661,4652Z,Comm. de gros d'éqpts et composants électroniques et de télécomm.,5,46,5,2,Z,,1661
1662,4647Z,"Commerce de gros de meubles, de tapis et d'appareils d'éclairage",5,46,4,7,Z,,1662
1663,5911,Production films cinémat. vidéo & programmes de télévision,4,59,1,1,,,1663
1664,7021,Conseil en relations publiques et communication,4,70,2,1,,,1664
1665,3312Z,Réparation de machines et équipements mécaniques,5,33,1,2,Z,,1665
1666,2830Z,Fabrication de machines agricoles et forestières,5,28,3,0,Z,,1666
1667,7740,Loc-bail de propriété intell. & sf oeuvres soumises à copyright,4,77,4,0,,,1667
1668,2051,Fabrication de produits explosifs,4,20,5,1,,,1668
1669,1431,Fabrication d'articles chaussants à mailles,4,14,3,1,,,1669
1670,9525,Réparation d'articles d'horlogerie et de bijouterie,4,95,2,5,,,1670
1671,3211,Frappe de monnaie,4,32,1,1,,,1671
1672,0000,Inconnu,4,00,0,0,,,1672
